451.123,ast_cnt,repeat_string,date,filename,name,451.353,590,451.2,451.13,6-501.12,500,451,6-501.14,451.126,3-302.11,205,480,451.404,6-501.16,4-501.11,451.321,451.14,451.35,451.103,451.104,451.344,5-205.15,4-903.11,451.117,5-202.12,6-501.11,451.36,3-501.16,520,7-206.12,6-404.11,3-305.11,6-202.15,3-304.12,3-701.11,6-501.111,4-601.11,5-203.14,4-602.12,4-204.112,2-401.11,451.11,4-901.11,5-205.11,205.103,480.425,590.009,4-502.13,6-501.114,6-201.11,4-501.114,6-201.16,451.121,451.124,480.5,451.34,520.119,451.000.,451.322,451.141,5-202.13,451.32,451.341,4-602.11,451.101,451.102,6-301.12,4-501.15,451.114,6-403.11,4-204.115,451.351,4-302.14,4-501.112,5-501.114,6-101.11,3-302.12,4-101.16,7-101.11,6-301.11,451.109,6-301.20,5-501.16,3-305.12,2-402.11,4-903.12,4-502.11,6-202.11,2022,2017,451.331,590.003,3-304.14,1,5-501.110,451.346,7-102.11,480.4,4-602.13,451.37,451.38,451.383,451.33,5-501.113,451.345,6-501.112,5-501.115,451.111,4-701.10,3-501.15,3-202.15,451.371,451.153,451.125,4-102.11,451.374,451.113,4-904.11,6-301.14,3.5,6.5,4-202.11,451.343,480.1,590.011,2-301.14,3-501.18,6-305.11,5-501.116,4-202.16,109,4-201.11,451.119,451.122,4-501.116,451.12,11,5-250.15,451.128,6-303.11,2-304.11,4-904.13,480.3,451.405,4-501.12,3-301.11,5-501.15,8,2-102.11,480.2,4-501.13,4-202.15,4-101.111,2013,2018,7-201.11,2016,3-101.11,3.302.11,6-501.15,5-502.11,6-201.17,480.55,3-304.15,4-501.16,4-501.18,7-3.,480.000.,4-301.12,4-501.14,2-103.11,4-601.12,6-304.11,451.218,4-402.12,6-202.12,4-501.17,90.6,480,4-702.11,3-13.,450.35,1,450.353,3-306.11,451.35,5,.480.500
2,4,3 repeat violations,11/2/2018 14:52,451-18-bristol-n-dartmouth-ice-report-11-5-18.docx,Bristol_County_ICE_Facility_North_Dartmouth__October_24_2018,4,1,,1,,2,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,3 repeat violations,4/18/2018 12:47,451-18-bristol-n-dartmouth-ice-report-4-20-18.docx,Bristol_County_ICE_Facility_North_Dartmouth__March_26_2018,1,2,,1,,,1,,,,1,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,122,197 repeat violations,11/2/2018 16:42,451-18-bristol-n-dartmouth-jail-and-hoc-report-11-5-18.docx,Bristol_County_Jail_and_House_of_Correction_North_Dartmouth__October_24_2018,47,11,10,12,1,2,1,,,1,1,1,1,,,10,,4,,,1,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,3,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,23,27 repeat violations,11/2/2018 17:22,451-18-bristol-n-dartmouth-modular-building-report-11-5-18.docx,Bristol_County_Modular_Building_North_Dartmouth__October_24_2018,10,1,,3,,2,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22,29 repeat violations,4/18/2018 13:26,451-18-bristol-n-dartmouth-modular-building-report-4-20-18.docx,Bristol_County_Modular_Building_North_Dartmouth__March_27_2018,9,2,,1,,,1,,,,1,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,10 repeat violations,11/2/2018 17:35,451-18-bristol-n-dartmouth-women-center-report-11-5-18.docx,Bristol_County_Dartmouth_Womens_Center__October_24_2018,3,1,,5,1,2,1,,,,1,1,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,11 repeat violations,4/18/2018 13:00,451-18-bristol-n-dartmouth-women-center-report-4-20-18.docx,Bristol_County_Dartmouth_Womens_Center__March_26_2018,,2,,1,,,1,,,,1,1,1,,,4,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,42,73 repeat violations,6/28/2018 16:10,451-18-bristol-new-bedford-report-7-2-18.docx,Bristol_County_Jail_Ash_Street_Facility_New_Bedford__June_13_2018,52,2,,1,,,1,,,,1,1,1,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,30 repeat violations,12/11/2018 15:51,451-18-dukes-martha-vineyard-report-12-12-18.docx,Dukes_County_Jail_and_House_of_Correction__November_27_2018,21,1,,2,,2,1,,,,1,1,1,,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,58,68 repeat violations,10/26/2018 16:35,451-18-essex-lawrence-report-10-31-18.docx,Essex_County_Correctional_Alternative_Center_Lawrence__October_24_2018,39,8,7,1,6,2,1,,3,,1,1,1,,5,,,8,2,,1,,,6,,1,1,1,,,,1,2,,,,,,1,,,,,,,,,,,,,,2,,4,,,,,7,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,60,63 repeat violations,4/25/2018 18:06,451-18-essex-lawrence-report-5-7-18.docx,Essex_County_Correctional_Alternative_Center_Lawrence__April_20_2018,29,8,6,6,3,,1,,4,1,1,1,1,1,2,,,8,8,,1,,,6,,2,3,,2,,,3,2,,,,,,,,,1,,,,,,,,,1,,3,,3,,,,1,26,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,63,75 repeat violations,11/30/2018 13:30,451-18-essex-middleton-report-12-3-18.docx,Essex_County_Correctional_Facility_Middleton__November_19_2018,59,3,2,8,2,2,1,,7,,1,1,1,,,,,5,4,,,3,,,,8,2,,,,,,1,,,,1,,,,,8,,,,,,,,,1,,,1,4,2,,,7,1,,,,,,,,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,82,108 repeat violations,5/3/2018 13:23,451-18-essex-middleton-report-5-3-18.docx,Essex_County_Correctional_Facility_Middleton__April_23_2018,43,9,7,14,,,1,,8,,1,1,1,,2,,6,6,4,,,2,,,,11,,,2,,,,2,,,,,1,,,,2,,,,,,,,,1,,,2,,7,,,7,12,,,,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,4 repeat violations,9/21/2018 14:04,451-18-essex-salisbury-report-9-21-18.docx,Essex_CountyWomen_in_transition_September_20_2018,,2,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,32,69 repeat violations,4/25/2018 11:59,451-18-franklin-greenfield-report-4-30-18.docx,Franklin_County_Jail_and_House_of_Correction_Greenfield__April_24_2018,12,5,3,1,1,,1,,,,1,1,1,,,,4,,2,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,5 repeat violations,1/31/2018 18:32,451-18-hampden-chicopee-report-2-5-18.docx,Hampden_County_Western_MA_Womens_Correctional_Center_Chicopee__January_26_2018,2,2,,,,,1,,,,1,1,1,,,,2,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,9 repeat violations,6/5/2018 17:48,451-18-hampden-chicopee-report-6-8-18.docx,Hampden_County_Western_MA_Womens_Correctional_Center_Chicopee__June_1_2018,4,3,1,1,1,,1,,,,1,1,1,,,,1,,,,,,,,,2,2,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,92,236 repeat violations,10/1/2018 18:06,451-18-hampden-ludlow-report-10-9-18.docx,Hampden_County_Jail_and_House_of_Correction_Ludlow__September_26_2018,36,12,10,3,1,,1,2,8,,1,1,1,,3,,12,1,,,,2,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,109,293 repeat violations,2/26/2018 14:58,451-18-hampden-ludlow-report-2-28-18.docx,Hampden_County_Jail_and_House_of_Correction_Ludlow__February_15_2018,37,6,4,4,1,,1,2,9,1,1,1,1,,1,,1,,,,,2,,,,,,1,2,,,,,,,,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,4 repeat violations,1/24/2018 19:20,451-18-hampden-springfield-report-1-25-18.docx,Hampden_County_Western_Massachusetts_Recovery_and_Wellness_Center_Springfield__January_23_2018,3,2,,,,,1,1,3,,1,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11,19 repeat violations,6/11/2018 14:58,451-18-hampden-springfield-report-6-11-18.docx,Hampden_County_Western_Massachusetts_Recovery_and_Wellness_Center_Springfield__June_8_2018,5,4,2,3,1,,1,,3,2,1,1,1,,,,,,1,,,1,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,51,78 repeat violations,12/14/2018 14:44,451-18-hampshire-northampton-report-12-18-18.docx,Hampshire_County_Jail_and_House_of_Correction_Northampton__December_13_2018,14,4,3,,1,2,1,,1,,1,1,1,,1,,,3,,,,,,,1,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,39,46 repeat violations,2/13/2018 14:38,451-18-masac-plymouth-report-2-13-18.docx,Massachusetts_Alcohol_and_Substance_Abuse_Center_MASAC_in_Plymouth__January_31_2018,22,13,11,8,1,,1,,1,,1,1,1,,,,,1,3,,,1,,,,4,,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2,5,,3,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,52,63 repeat violations,6/28/2018 15:27,451-18-masac-plymouth-report-7-2-18.docx,Massachusetts_Alcohol_and_Substance_Abuse_Center_MASAC_in_Plymouth__June_7_2018,17,7,5,8,1,,1,,2,,1,1,1,,,,,1,1,,,,1,,,3,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,3,,,,,1,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,175,231 repeat violations,12/31/2018 13:08,451-18-mci-cedar-junction-report-12-31-18.docx,MCI_Cedar_Junction__December_5_2018,194,12,11,9,5,2,1,,1,,1,1,1,,3,,,9,9,,2,1,1,,,7,,1,,,,,1,,,4,,,,,,4,1,,,,,,1,,,3,,,,,,,,1,,7,1,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,201,240 repeat violations,6/26/2018 18:32,451-18-mci-cedar-junction-report-7-2-18.docx,MCI_Cedar_Junction__May_29_2018,157,18,16,12,4,,1,,,1,1,1,1,,3,,1,8,11,,3,1,,,,7,,,2,,,,1,,,,,,,,,,1,,,,,,1,,1,3,,,,,,,,1,,9,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,92,115 repeat violations,11/16/2018 13:00,451-18-mci-concord-report-11-16-18.docx,MCI_Concord__November_6_2018,41,13,12,18,,2,1,,16,,1,1,1,,4,6,,6,3,,2,1,,1,,10,,2,,,,,1,1,,,,,,,,3,,1,,,,,,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,103,137 repeat violations,5/15/2018 19:35,451-18-mci-concord-report-5-16-18.docx,MCI_Concord__May_9_2018,23,16,14,19,,,1,,15,,1,1,1,,4,6,1,6,3,,1,,,,1,7,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,113,147 repeat violations,1/12/2018 20:22,451-18-mci-framingham-report-%202-1-18.docx,MCI_Framingham__January_10_2018,71,20,18,13,8,,1,,6,,1,1,1,,7,,1,3,10,,16,1,1,2,,13,,4,2,,,2,,1,2,1,,,,,,8,,2,,,1,,2,1,1,2,,,,,,,2,2,,,,,,2,,,1,1,,,,,,,2,,,,,,,,,,,,,,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,111,138 repeat violations,6/18/2018 17:59,451-18-mci-framingham-report-6-19-17.docx,MCI_Framingham__June_7_2018,21,3,1,12,9,,1,,4,1,1,1,1,,6,,,,5,,8,1,,,,10,1,3,2,,,1,,1,,2,,,,,,2,,,,,,,1,1,,2,,,,,,,2,3,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
